P0119,LEXUS CHOCOLATE X 8 BL X 100,3,22,2,24-11-2019 21:22:55
P0120,PELOTITAS CHOCOLATE  X1K,7,24,3,24-11-2019 21:22:56
P0121,PANETON CHOCOTON Bl X500gr,2,28,4,24-11-2019 21:22:57
P0122,PULPIN X24 UN,2,3,5,24-11-2019 21:22:58
P0123,DONOFRIO CAJA,2,28,6,24-11-2019 21:22:59
P0124,PANETON DONOFRIO LATA,1,28,7,24-11-2019 21:22:36
P0125,PANETON BUON NATALE BOLSA X 800GR,8,28,8,24-11-2019 21:22:37
P0126,PANETON BUON NATALE CAJA 6 X 800GR,1,28,9,24-11-2019 21:22:38
P0127,PANETON CHOCOTON MANJAR X500gr,1,28,10,24-11-2019 21:22:39
P0128,PANETON CHOCOTON VAINILLA X 500 gr,1,28,11,24-11-2019 21:22:40
P0129,PANETON 34 BOLSA  6 X 900GR,1,34,12,24-11-2019 21:22:41
P0130,PANETON MOTTA CAJA 6  X 750GR,1,28,13,24-11-2019 21:22:42
P0131,PANETON 34 CAJA X 6 CJ X900GR,1,34,14,24-11-2019 21:22:43
P0132,PANETON RICCOS BOLSA  6  X 900 GR,1,6,15,24-11-2019 21:22:44
P0133,PANETON BLANCA FLOR BOLSA  X 6  X900 GR,1,4,16,24-11-2019 21:22:45
P0134,PANETON BLANCA FLOR CAJA  6 X 900 GR,1,4,17,24-11-2019 21:22:46
P0135,LENTEJAS A GRANEL X 1K,1,28,18,24-11-2019 21:22:47
P0136,AMBROSITO A GRANEL X500 GR,1,5,19,24-11-2019 21:22:48
P0137,TRUFLE  BOLSA,1,22,20,24-11-2019 21:22:49
P0138,PALETA PIERO,2,22,21,24-11-2019 21:22:50
P0139,MOROCHA WAFER X 8 DP X12 UND,2,28,22,24-11-2019 21:22:51
P0140,AMBROLYPTUS X 500GR,2,5,23,24-11-2019 21:22:52
P0141,GOMAS LOOP X 5020 GR,2,5,24,24-11-2019 21:22:53
P0142,MILLOWS ANGELITOS X 200GR,2,22,25,24-11-2019 21:22:54
P0143,WHOO X 8 DP X 24 UND,2,22,26,24-11-2019 21:22:55
P0144,SPARKIE LINEA X 32 BL X70 UND,2,27,1,24-11-2019 21:22:56
P0145,PRINCESA BOX x 16 UND,2,28,2,24-11-2019 21:22:57
P0146,TOFF DE LECHE X 113 UND,2,5,3,24-11-2019 21:22:58
P0147,MILKYWAY,2,22,4,24-11-2019 21:22:59
P0148,M&M AMARILLO X 48 UND X 49 GR,2,22,5,24-11-2019 21:22:36
P0149,MAXMELLOWS X 250 GR,2,23,6,24-11-2019 21:22:37
P0150,PANETON 15 BOLSA X 6 UND X 900GR,2,5,7,24-11-2019 21:22:38
P0151,PRINCESA BOX 24 X 16 x 8 gr,2,28,8,24-11-2019 21:22:39
P0152,IMPUESTO BOLSAS PLASTICAS,2,14,9,24-11-2019 21:22:40
P0153,BUBBLE GUM,1,22,10,24-11-2019 21:22:41
P0154,GELATINA POTE X 100,2,22,11,24-11-2019 21:22:42
P0155,MOMENTS BUTTER COOKIES,5,11,12,24-11-2019 21:22:43
